Timestamp,Status,Gen,Fitness,PnL,WinRate,PF,Sharpe,MaxDD,Trades,MutRate,TP,SL,Risk,Cooldown,Conf,TimeSec
2026-05-21 15:11:15,UPDATE,104,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,418.62
2026-05-21 15:18:08,UPDATE,105,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,413.26
2026-05-21 15:25:03,UPDATE,106,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,415.20
2026-05-21 15:31:58,UPDATE,107,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,414.93
2026-05-21 15:38:53,UPDATE,108,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,414.99
2026-05-21 15:45:47,UPDATE,109,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,413.87
2026-05-21 15:52:41,UPDATE,110,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,413.56
2026-05-21 15:59:34,UPDATE,111,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.60,0.004232,0.015000,0.014423,4775,0.406,413.65
2026-05-21 16:06:45,UPDATE,112,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,430.81
2026-05-21 16:13:42,UPDATE,113,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,416.32
2026-05-21 16:20:36,UPDATE,114,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,414.61
2026-05-21 16:27:32,UPDATE,115,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,416.20
2026-05-21 16:34:28,UPDATE,116,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,415.69
2026-05-21 16:41:23,UPDATE,117,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,414.95
2026-05-21 16:48:16,UPDATE,118,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,413.00
2026-05-21 16:55:09,UPDATE,119,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,412.65
2026-05-21 17:02:03,UPDATE,120,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.60,0.004232,0.015000,0.014423,4775,0.406,413.86
2026-05-21 17:09:14,UPDATE,121,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,431.67
2026-05-21 17:16:10,UPDATE,122,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,415.38
2026-05-21 17:23:03,UPDATE,123,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,413.48
2026-05-21 17:29:58,UPDATE,124,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,415.44
2026-05-21 17:36:50,UPDATE,125,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,411.92
2026-05-21 17:43:44,UPDATE,126,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,414.04
2026-05-21 17:50:37,UPDATE,127,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,412.33
2026-05-21 17:57:49,UPDATE,128,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,431.80
2026-05-21 18:04:40,UPDATE,129,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.60,0.004232,0.015000,0.014423,4775,0.406,411.91
2026-05-21 18:11:52,UPDATE,130,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,431.90
2026-05-21 18:18:51,UPDATE,131,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,418.57
2026-05-21 18:25:42,RECORD,132,43948.92,-0.0665,34.57,1.10,0.46,0.0066,81,0.15,0.009101,0.003798,0.010042,2601,0.408,411.13
2026-05-21 18:32:34,UPDATE,133,43948.92,-0.0665,34.57,1.10,0.46,0.0066,81,0.20,0.009101,0.003798,0.010042,2601,0.408,411.78
2026-05-21 18:39:28,UPDATE,134,43948.92,-0.0665,34.57,1.10,0.46,0.0066,81,0.25,0.009101,0.003798,0.010042,2601,0.408,413.62
2026-05-21 18:46:20,UPDATE,135,43948.92,-0.0665,34.57,1.10,0.46,0.0066,81,0.30,0.009101,0.003798,0.010042,2601,0.408,412.40
2026-05-21 18:53:13,RECORD,136,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.15,0.009675,0.003722,0.013348,4796,0.430,413.20
2026-05-21 19:00:07,UPDATE,137,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.20,0.009675,0.003722,0.013348,4796,0.430,413.70
2026-05-21 19:06:58,UPDATE,138,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.25,0.009675,0.003722,0.013348,4796,0.430,411.63
2026-05-21 19:13:53,UPDATE,139,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.30,0.009675,0.003722,0.013348,4796,0.430,414.55
2026-05-21 19:20:46,UPDATE,140,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.35,0.009675,0.003722,0.013348,4796,0.430,413.41
2026-05-21 19:27:39,UPDATE,141,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.40,0.009675,0.003722,0.013348,4796,0.430,412.92
2026-05-21 19:34:34,UPDATE,142,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.45,0.009675,0.003722,0.013348,4796,0.430,414.54
2026-05-21 19:41:26,UPDATE,143,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,412.58
2026-05-21 19:48:19,UPDATE,144,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,412.93
2026-05-21 19:55:15,UPDATE,145,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.60,0.009675,0.003722,0.013348,4796,0.430,416.13
2026-05-21 20:02:26,UPDATE,146,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,430.54
2026-05-21 20:09:20,UPDATE,147,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,413.82
2026-05-21 20:16:15,UPDATE,148,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,414.79
2026-05-21 20:23:09,UPDATE,149,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,414.77
2026-05-21 20:30:04,UPDATE,150,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,414.75
2026-05-21 20:36:59,UPDATE,151,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,414.98
2026-05-21 20:43:52,UPDATE,152,59514.93,-0.0674,18.57,1.17,0.75,0.0067,70,0.50,0.009675,0.003722,0.013348,4796,0.430,412.54
